SF_Id,Name,Stage,Field,Before,After,Source,Timestamp,Action
006WR00000wkEbHYAU,Arcadia Walk,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbWYAU,Waterstone Apartments,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbXYAU,Holiday Village Manufactured Home Village,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbXYAU,Holiday Village Manufactured Home Village,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbtYAE,Chalk Hill Ranch Phase 1,Marketing/Bulk Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbvYAE,The Traditions Apartments,PAL/ROE Complete,Hold_Reason__c,Build Not Approved,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEc5YAE,Benson Crest,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEc6YAE,Wright Senior,PAL/ROE Complete,Hold_Reason__c,Build Not Approved,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEc9YAE,Heatherwilde Park AKA Cove at Heatherwilde,PAL/ROE Complete,Hold_Reason__c,Build Not Approved,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEcCYAU,Eastgate Village Apartments,Prospecting,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000xuFKAYA2,Bridgeport_MDU_Federal Housing Administration,Engaged,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yuOtDYAU,Pacifica Leucadia HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yvINSYA2,Forrest Bluff Terraces HOA,Closed Lost,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yvQkpYAE,Sky Loft HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yvdF2YAI,Shamrock Mobile Estates,Closed Lost,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yvoqPYAQ,Monte Mira HOA,On Hold,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yvoqPYAQ,Monte Mira HOA,On Hold,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yw09zYAA,Beacons Beach Village,PAL/ROE Complete,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yw0RiYAI,Encinitas Ranch HOA,PAL/ROE Complete,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yw95EYAQ,803 Cedros Pvt Road,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yw9QBYAY,Mendocino HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000yw9YHYAY,Seaside Highlannds HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
